\\\\%time\field.data\\
1593028532\76898092\1.5930285320769E+018\\1593028533123460054\1593028533121541976\\1044.644096
1593028532\135660289\1.59302853213566E+018\\1593028533355338096\1593028533354063987\\1218.403584
1593028532\167481224\1.59302853216748E+018\\1593028533553380966\1593028533552195072\\1384.713472
1593028532\205455994\1.59302853220546E+018\\1593028533743805885\1593028533742647886\\1537.191936
1593028532\250675228\1.59302853225068E+018\\1593028533941521883\1593028533940376043\\1689.700864
1593028532\292494355\1.59302853229249E+018\\1593028534145886898\1593028534144793033\\1852.298752
1593028532\339407429\1.59302853233941E+018\\1593028534337790012\1593028534336710929\\1997.303296
1593028532\380578365\1.59302853238058E+018\\1593028534507453918\1593028534503665924\\2123.087616
1593028532\416940830\1.59302853241694E+018\\1593028534613040924\1593028534611857891\\2194.91712
1593028532\464699093\1.5930285324647E+018\\1593028534719275951\1593028534717885017\\2253.186048
1593028532\501244481\1.59302853250124E+018\\1593028534829595088\1593028534828836917\\2327.592448
1593028532\548703212\1.5930285325487E+018\\1593028534954374074\1593028534952929019\\2404.225792
1593028532\593279661\1.59302853259328E+018\\1593028535062613010\1593028535060955047\\2467.675136
1593028532\638997145\1.593028532639E+018\\1593028535178617000\1593028535176470994\\2537.473536
1593028532\688806019\1.59302853268881E+018\\1593028535296487092\1593028535294430017\\2605.624064
1593028532\738637912\1.59302853273864E+018\\1593028535427869081\1593028535426037073\\2687.399424
1593028532\776402241\1.5930285327764E+018\\1593028535547527074\1593028535546320915\\2769.918464
1593028532\823102523\1.5930285328231E+018\\1593028535672849893\1593028535671572923\\2848.470272
1593028532\874430278\1.59302853287443E+018\\1593028535796147108\1593028535795066118\\2920.635648
1593028532\907330582\1.59302853290733E+018\\1593028535915890932\1593028535907357931\\3000.027648
1593028532\996965749\1.59302853299697E+018\\1593028536026664018\1593028536025928974\\3028.963328
1593028533\95629275\1.59302853309563E+018\\1593028536131310939\1593028536130342960\\3034.713344
1593028533\136300145\1.5930285331363E+018\\1593028536262665033\1593028536262008905\\3125.7088
1593028533\182352827\1.59302853318235E+018\\1593028536370896100\1593028536369872093\\3187.518976
1593028533\226545486\1.59302853322655E+018\\1593028536491008043\1593028536490226984\\3263.681536
1593028533\270427207\1.59302853327043E+018\\1593028536592643022\1593028536591954946\\3321.527808
1593028533\316442464\1.59302853331644E+018\\1593028536676682949\1593028536675709962\\3359.267584
1593028533\357798877\1.5930285333578E+018\\1593028536765206098\1593028536764379978\\3406.581248
1593028533\406961041\1.59302853340696E+018\\1593028536860538959\1593028536859421014\\3452.460032
1593028533\454346514\1.59302853345435E+018\\1593028536968071937\1593028536967500925\\3513.154304
1593028533\498599913\1.5930285334986E+018\\1593028537039171934\1593028537037775039\\3539.175168
1593028533\541014067\1.59302853354101E+018\\1593028537129854917\1593028537129070043\\3588.056064
1593028533\589233637\1.59302853358923E+018\\1593028537213253974\1593028537211977005\\3622.743296
1593028533\629415756\1.59302853362942E+018\\1593028537291887044\1593028537291157960\\3661.742336
1593028533\678668918\1.59302853367867E+018\\1593028537381635904\1593028537380004882\\3701.336064
1593028533\720144737\1.59302853372014E+018\\1593028537465533018\1593028537462168931\\3742.024448
1593028533\765713187\1.59302853376571E+018\\1593028537561831951\1593028537561237096\\3795.52384
1593028533\788028717\1.59302853378803E+018\\1593028537643909931\1593028537642457008\\3854.428416
1593028533\810283007\1.59302853381028E+018\\1593028537726023912\1593028537724772930\\3914.489856
1593028533\858143175\1.59302853385814E+018\\1593028537813679933\1593028537813004970\\3954.861568
1593028533\907954846\1.59302853390795E+018\\1593028537881166934\1593028537879690885\\3971.735808
1593028533\951077561\1.59302853395108E+018\\1593028537956826925\1593028537955935955\\4004.858368
1593028533\997655771\1.59302853399766E+018\\1593028538037111997\1593028538035703897\\4038.048
1593028534\43607770\1.59302853404361E+018\\1593028538127224922\1593028538126420974\\4082.812928
1593028534\83591985\1.59302853408359E+018\\1593028538195733070\1593028538194947957\\4111.355904
1593028534\130368729\1.59302853413037E+018\\1593028538272123098\1593028538271384954\\4141.01632
1593028534\165662768\1.59302853416566E+018\\1593028538344161033\1593028538343595981\\4177.933312
1593028534\212649730\1.59302853421265E+018\\1593028538417287111\1593028538415466070\\4202.816256
1593028534\251688055\1.59302853425169E+018\\1593028538485824108\1593028538485163927\\4233.476096
1593028534\298371041\1.59302853429837E+018\\1593028538568578958\1593028538567884922\\4269.513728
1593028534\343834011\1.59302853434383E+018\\1593028538637809991\1593028538637049913\\4293.215744
1593028534\389693104\1.59302853438969E+018\\1593028538704951047\1593028538704340934\\4314.647552
1593028534\439632199\1.59302853443963E+018\\1593028538779258012\1593028538778528928\\4338.89664
1593028534\480958131\1.59302853448096E+018\\1593028538858176946\1593028538857470035\\4376.511744
1593028534\510334258\1.59302853451033E+018\\1593028538927794933\1593028538927170038\\4416.83584
1593028534\532222980\1.59302853453222E+018\\1593028538998224973\1593028538997483968\\4465.261056
1593028534\562495813\1.5930285345625E+018\\1593028539068675994\1593028539067409992\\4504.914176
1593028534\589758810\1.59302853458976E+018\\1593028539135915040\1593028539135303020\\4545.544448
1593028534\611791067\1.59302853461179E+018\\1593028539212704896\1593028539212121009\\4600.329984
1593028534\642097806\1.5930285346421E+018\\1593028539285640954\1593028539284765005\\4642.667264
1593028534\676437381\1.59302853467644E+018\\1593028539359523057\1593028539358860969\\4682.423296
1593028534\710091728\1.59302853471009E+018\\1593028539436732053\1593028539436050891\\4725.959168
1593028534\742332267\1.59302853474233E+018\\1593028539513984918\1593028539513376951\\4771.044608
1593028534\777843395\1.59302853477784E+018\\1593028539585886001\1593028539585278987\\4807.435264
1593028534\810774292\1.59302853481077E+018\\1593028539657571077\1593028539656940937\\4846.166528
1593028534\842677540\1.59302853484268E+018\\1593028539729263067\1593028539728636980\\4885.959424
1593028534\877395368\1.5930285348774E+018\\1593028539799875020\1593028539799197912\\4921.802752
1593028534\911278025\1.59302853491128E+018\\1593028539873960971\1593028539872507095\\4961.2288
