Sim,,,,Camera reception,,,,distance,,,,,,
%time,field.data,,,%time,field.data,,,%time,field.data,,,ARUCO + DISTANCE CALCULATION,,SIM – DISTANCE 
1593025735149746894,1593025734975447998,174.29888,,1593025735150934934,1593025735149101972,1.832704,,1593025735203025102,1593025735202352046,0.67328,,53.250048,,226.904064
1593025735274214982,1593025735094889160,179.32544,,1593025735274221897,1593025735273690938,0.530944,,1593025735337408065,1593025735336858034,0.550144,,63.166976,,241.96864
1593025735382261991,1593025735223742187,158.520064,,1593025735382100105,1593025735381221055,0.878848,,1593025735439018964,1593025735438365936,0.6528,,57.145088,,214.624256
1593025735510643959,1593025735343623046,167.020544,,1593025735512638092,1593025735510154008,2.483968,,1593025735560214996,1593025735559375047,0.83968,,49.22112,,215.751936
1593025735626825094,1593025735472617187,154.207744,,1593025735628000974,1593025735626291036,1.709824,,1593025735679824113,1593025735679147958,0.67584,,52.857088,,206.530816
1593025735758603096,1593025735586143066,172.459776,,1593025735758605957,1593025735757874965,0.731136,,1593025735810302019,1593025735809344053,0.957952,,51.469056,,223.201024
1593025735875000953,1593025735713682128,161.318912,,1593025735875247001,1593025735873986959,1.260288,,1593025735923886060,1593025735923166036,0.719872,,49.179392,,209.484288
1593025735997519016,1593025735829454101,168.065024,,1593025735996917009,1593025735996206045,0.711168,,1593025736050148010,1593025736049597024,0.550656,,53.391104,,220.143104
1593025736111433029,1593025735956951171,154.48192,,1593025736110903978,1593025736108751058,2.15296,,1593025736158603906,1593025736158006906,0.597504,,49.25568,,201.055744
1593025736233144044,1593025736072406982,160.73728,,1593025736233143091,1593025736231653928,1.488896,,1593025736291155099,1593025736290494918,0.660224,,58.840576,,218.087936
1593025736359508037,1593025736198240966,161.2672,,1593025736358925104,1593025736357203960,1.721088,,1593025736408396005,1593025736407752037,0.644352,,50.547968,,209.511168
1593025736490303039,1593025736313229003,177.07392,,1593025736489648103,1593025736487652063,1.996288,,1593025736552196979,1593025736551629066,0.567808,,63.977216,,238.4
1593025736593693017,1593025736434104003,159.58912,,1593025736593215942,1593025736591692924,1.5232,,1593025736647641897,1593025736647033929,0.608,,55.341056,,212.929792
1593025736725115060,1593025736555109130,170.00576,,1593025736727605104,1593025736724525928,3.079168,,1593025736782253026,1593025736781650066,0.603136,,57.12384,,226.5408
1593025736851146936,1593025736683138183,168.008704,,1593025736852375030,1593025736850409984,1.965056,,1593025736909864902,1593025736909243106,0.621824,,58.833152,,226.105088
1593025736978658914,1593025736806377197,172.2816,,1593025736979141950,1593025736978493928,0.648192,,1593025737031908035,1593025737031321048,0.586752,,52.827136,,224.943872
1593025737079090118,1593025736922130126,156.96,,1593025737080799102,1593025737079365968,1.433088,,1593025737128249883,1593025737127394914,0.85504,,48.028672,,205.264896
1593025737221508026,1593025737047141113,174.36672,,1593025737222368955,1593025737220526933,1.842176,,1593025737270947933,1593025737270133018,0.814592,,49.606656,,222.992128
1593025737325236082,1593025737167183105,158.052352,,1593025737326927900,1593025737324908018,2.01984,,1593025737376075029,1593025737375247955,0.82688,,50.33984,,208.064512
1593025737455648899,1593025737286603027,169.046016,,1593025737455990076,1593025737454128026,1.861888,,1593025737509082078,1593025737508404970,0.67712,,54.276608,,221.801984
1593025737573616981,1593025737416029052,157.587456,,1593025737573168039,1593025737571480989,1.68704,,1593025737628561973,1593025737627978086,0.583936,,56.496896,,211.9488
1593025737711973905,1593025737530088134,181.886208,,1593025737713181972,1593025737712656974,0.525568,,1593025737766362905,1593025737765712976,0.65024,,53.056,,235.624704
1593025737828389883,1593025737653979980,174.409728,,1593025737829711914,1593025737827790975,1.921024,,1593025737884088039,1593025737883420944,0.667392,,55.629824,,229.440512
1593025737954550027,1593025737776447021,178.10304,,1593025737956326007,1593025737954022884,2.303488,,1593025738005808115,1593025738005136966,0.671488,,51.113984,,228.689664
1593025738068885087,1593025737899933105,168.951808,,1593025738069964885,1593025738067656040,2.308864,,1593025738119441032,1593025738118872880,0.567808,,51.217152,,218.939904
1593025738216577053,1593025738029382080,187.19488,,1593025738216846942,1593025738216389894,0.457216,,1593025738265522956,1593025738264885902,0.636928,,48.496384,,235.503872
